sw_goldrush_te,2015-05-20T13:31:33
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,8
81A4E37ED22D965E9D85CF9347D6EB2F,37BA785969FCC938B78E577894CC860B,8
0AFBBA0EA5DEF0A87F0545A18FF17C2B,2FE3EF3D835B170058D1F34A7F324BFA,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,41
37BA785969FCC938B78E577894CC860B,8784DE8B0FFE7839EA8F0253CA70B49F,9
8784DE8B0FFE7839EA8F0253CA70B49F,37BA785969FCC938B78E577894CC860B,41
81A4E37ED22D965E9D85CF9347D6EB2F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,8
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
8784DE8B0FFE7839EA8F0253CA70B49F,37BA785969FCC938B78E577894CC860B,41
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,41
0AFBBA0EA5DEF0A87F0545A18FF17C2B,8784DE8B0FFE7839EA8F0253CA70B49F,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
81A4E37ED22D965E9D85CF9347D6EB2F,37BA785969FCC938B78E577894CC860B,6
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,6
81A4E37ED22D965E9D85CF9347D6EB2F,37BA785969FCC938B78E577894CC860B,16
0AFBBA0EA5DEF0A87F0545A18FF17C2B,81A4E37ED22D965E9D85CF9347D6EB2F,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,41
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,41
37BA785969FCC938B78E577894CC860B,8784DE8B0FFE7839EA8F0253CA70B49F,10
81A4E37ED22D965E9D85CF9347D6EB2F,7343432F64425A7DEF8DCFE1E01CAFDC,8
37BA785969FCC938B78E577894CC860B,81A4E37ED22D965E9D85CF9347D6EB2F,10
8784DE8B0FFE7839EA8F0253CA70B49F,2FE3EF3D835B170058D1F34A7F324BFA,41
37BA785969FCC938B78E577894CC860B,8784DE8B0FFE7839EA8F0253CA70B49F,3
0AFBBA0EA5DEF0A87F0545A18FF17C2B,81A4E37ED22D965E9D85CF9347D6EB2F,9
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,8
2FE3EF3D835B170058D1F34A7F324BFA,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,10
8784DE8B0FFE7839EA8F0253CA70B49F,37BA785969FCC938B78E577894CC860B,10
7343432F64425A7DEF8DCFE1E01CAFDC,81A4E37ED22D965E9D85CF9347D6EB2F,9
2FE3EF3D835B170058D1F34A7F324BFA,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,10
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,10
37BA785969FCC938B78E577894CC860B,8784DE8B0FFE7839EA8F0253CA70B49F,10
8784DE8B0FFE7839EA8F0253CA70B49F,37BA785969FCC938B78E577894CC860B,10
0AFBBA0EA5DEF0A87F0545A18FF17C2B,8784DE8B0FFE7839EA8F0253CA70B49F,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,16
7343432F64425A7DEF8DCFE1E01CAFDC,7343432F64425A7DEF8DCFE1E01CAFDC,18
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,9
8784DE8B0FFE7839EA8F0253CA70B49F,9090BF22D4E241DA0A758AE3A6B78429,10
9090BF22D4E241DA0A758AE3A6B78429,37BA785969FCC938B78E577894CC860B,16
81A4E37ED22D965E9D85CF9347D6EB2F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
9090BF22D4E241DA0A758AE3A6B78429,7343432F64425A7DEF8DCFE1E01CAFDC,8
81A4E37ED22D965E9D85CF9347D6EB2F,7343432F64425A7DEF8DCFE1E01CAFDC,3
81A4E37ED22D965E9D85CF9347D6EB2F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
7343432F64425A7DEF8DCFE1E01CAFDC,9090BF22D4E241DA0A758AE3A6B78429,9
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,8
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,9
37BA785969FCC938B78E577894CC860B,8784DE8B0FFE7839EA8F0253CA70B49F,9
81A4E37ED22D965E9D85CF9347D6EB2F,37BA785969FCC938B78E577894CC860B,8
0AFBBA0EA5DEF0A87F0545A18FF17C2B,81A4E37ED22D965E9D85CF9347D6EB2F,9
0AFBBA0EA5DEF0A87F0545A18FF17C2B,8784DE8B0FFE7839EA8F0253CA70B49F,9
2FE3EF3D835B170058D1F34A7F324BFA,0AFBBA0EA5DEF0A87F0545A18FF17C2B,8
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,8
37BA785969FCC938B78E577894CC860B,9090BF22D4E241DA0A758AE3A6B78429,3
9090BF22D4E241DA0A758AE3A6B78429,0AFBBA0EA5DEF0A87F0545A18FF17C2B,16
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,3
81A4E37ED22D965E9D85CF9347D6EB2F,37BA785969FCC938B78E577894CC860B,8
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,15
8784DE8B0FFE7839EA8F0253CA70B49F,7343432F64425A7DEF8DCFE1E01CAFDC,15
81A4E37ED22D965E9D85CF9347D6EB2F,7343432F64425A7DEF8DCFE1E01CAFDC,8
2FE3EF3D835B170058D1F34A7F324BFA,81A4E37ED22D965E9D85CF9347D6EB2F,8
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,9
37BA785969FCC938B78E577894CC860B,9090BF22D4E241DA0A758AE3A6B78429,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,15
8784DE8B0FFE7839EA8F0253CA70B49F,37BA785969FCC938B78E577894CC860B,6
2FE3EF3D835B170058D1F34A7F324BFA,9090BF22D4E241DA0A758AE3A6B78429,41
2FE3EF3D835B170058D1F34A7F324BFA,7343432F64425A7DEF8DCFE1E01CAFDC,8
0AFBBA0EA5DEF0A87F0545A18FF17C2B,81A4E37ED22D965E9D85CF9347D6EB2F,9
8784DE8B0FFE7839EA8F0253CA70B49F,0AFBBA0EA5DEF0A87F0545A18FF17C2B,15
37BA785969FCC938B78E577894CC860B,2FE3EF3D835B170058D1F34A7F324BFA,9
0AFBBA0EA5DEF0A87F0545A18FF17C2B,9090BF22D4E241DA0A758AE3A6B78429,3
37BA785969FCC938B78E577894CC860B,81A4E37ED22D965E9D85CF9347D6EB2F,9
7343432F64425A7DEF8DCFE1E01CAFDC,dontshoot,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,149,0,0,26,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.499946594238,4,0,6,0,0
8784DE8B0FFE7839EA8F0253CA70B49F,t0pramen,3,0,0,0,0,0,0,0,0,0,0,20,0,1,6,2,0,0,0,0,0,75,0,5,21,5,0,5,0,0,0,133,2,2,33,3,0,0,0,0,0,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,0,0,49,12,0
9090BF22D4E241DA0A758AE3A6B78429,Ro,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,12,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0
81A4E37ED22D965E9D85CF9347D6EB2F,00,4,0,0,0,0,0,0,0,0,0,0,32,0,2,18,1,0,0,0,0,0,188,0,2,50,8,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,50,0,42,3,0
0AFBBA0EA5DEF0A87F0545A18FF17C2B,^0Jimmy,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,275,0,2,46,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18.499988555908,0,0,26,3,0
37BA785969FCC938B78E577894CC860B,Tim,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,201,0,4,71,8,104,2,1,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,61,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,39,9,0
2FE3EF3D835B170058D1F34A7F324BFA,^1J^2A^3c^4k,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,201,0,3,47,8,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,61.729995727539,0,0,28,0,0
